"x" "y" "year"
177592 33216 1998
175914 33269 1997
171741 31160 1992
172815 32880 1989
172620 30618 2002
172946 27475 2001
174099 27234 2001
170449 41171 2002
176245 39799 1999
173493 39189 1989
173429 39479 1998
173428 41839 1998
176136 35249 2002
173104 32720 1997
176948 38995 2000
171657 34988 1998
172259 35670 1992
170991 37851 2002
174321 37756 2002
171848 38020 1999
172336 37621 1999
171621 38148 2001
171526 37874 1999
173882 34861 1992
173457 35130 2002
170844 39071 1992
172937 37920 1998
170863 37964 2002
170143 37053 1999
234569 69013 2000
235966 71154 2000
230704 76504 1993
226446 71637 2002
232597 72621 1996
232899 76926 1994
229582 72075 1992
228726 72386 2001
228723 72739 1995
230181 72119 2002
230907 76504 1992
227762 71736 1993
229368 72826 1998
229000 72007 1999
229582 71356 1993
231048 76563 2001
231806 73168 2001
231498 64567 1989
231809 68404 2002
235041 66103 1998
229422 69700 1997
239395 65913 1997
236935 66117 1996
238214 66801 1990
237114 66954 1999
232472 72130 2000
232117 70874 1991
234111 70880 2000
234479 77296 1993
235407 74683 1993
235450 75783 2002
233107 75052 1999
233703 75560 2002
233218 74516 1992
234473 75138 1993
222015 83616 1999
230383 79627 1993
222093 82929 2002
220528 82380 2001
221677 82004 1998
224414 82490 2001
217690 77030 2002
228943 94534 2000
231726 92741 2000
228815 94418 2000
228957 93504 1999
230139 91346 1999
228340 94495 1999
228836 94039 2000
225883 85469 1999
224939 86246 1997
224424 85984 1998
226799 88585 1999
227341 88823 2000
227645 87375 1999
226954 83838 1998
228332 85005 1997
224940 88150 1998
225726 84364 1998
225893 84714 2001
225549 85329 1998
220947 84337 1997
221101 84892 1999
221802 86517 1998
224668 84352 1998
222641 84550 2002
224171 86291 1999
223266 86930 1997
222765 84993 1999
223684 84670 1998
224294 84341 1998
219080 92973 2000
235906 82957 1992
226370 79848 1996
225569 79667 1990
230164 79240 1992
230862 79058 1999
228516 79106 1991
230270 78091 2001
224489 79887 2002
230682 78620 2002
233542 76802 1993
230181 83218 1998
232363 77939 2000
233320 78306 2002
234248 77618 2001
234313 76925 1993
231203 78386 2002
232742 77340 1992
223253 76382 1999
228687 74591 1999
228454 76006 2000
229200 84657 1999
232743 83700 2000
226680 84499 2001
225125 85174 1999
230562 83746 1996
231812 81647 1994
231181 83194 1998
231323 83817 1999
231446 83596 1999
228517 82586 1993
228124 80836 1999
229010 81280 2000
229626 81250 1991
229544 86970 2002
228435 87536 2000
228356 86471 1997
229352 85601 1998
229274 86061 1998
228137 85466 2002
229815 84885 1997
229526 84741 2000
228566 85657 2000
230087 85223 1998
229809 85873 2000
229274 86752 1999
227900 84065 1998
227314 84617 2000
228666 84812 1999
227810 82547 1998
227169 83812 1998
228197 83580 1998
230988 89312 2002
229085 91450 2000
221926 90080 1999
222918 88833 2001
224157 88673 1997
223024 88983 1998
223365 86985 2002
223814 86657 1997
222515 87304 1998
223249 87890 1999
226254 83702 1998
226768 83600 2002
165516 32844 2000
165723 33284 2002
166531 32504 1998
167294 34778 1991
167102 35999 2000
167511 32292 2001
166785 33777 2001
166432 33322 1998
166363 36647 1992
165547 35882 1992
162520 34758 1998
163489 33875 1999
165036 34171 2000
167089 36174 2001
167127 35999 1991
162818 33426 2000
163152 32802 1998
159385 33893 2001
166719 34754 1991
167650 34859 2002
166945 35549 2000
168254 36053 2000
