x      y     year spoligotype
177300 33100 1998 12
176800 32800 1997 12
172100 31700 1992 12
172300 32200 1989 12
172600 29800 2002 12
172500 27800 2001 12
173500 28200 2001 12
170800 41500 2002 9
176400 40300 1999 12
173400 39400 1989 12
173100 40200 1998 12
173500 42800 1998 12
176200 34400 2002 12
174000 32600 1997 12
176300 39200 2000 12
172500 35800 1998 20
172100 34700 1992 12
170300 38700 2002 12
173800 37700 2002 12
171800 37500 1999 10
171500 37500 1999 12
171800 38200 2001 12
171800 38200 1999 12
173300 35400 1992 12
173300 35400 2002 9
171000 38100 1992 12
173800 37700 1998 12
171100 37900 2002 12
171100 37900 1999 12
235300 68300 2000 9
235300 70500 2000 9
231500 76700 1993 9
227000 72600 2002 9
232000 73500 1996 9
232600 76200 1994 9
228800 72900 1992 9
228800 72900 2001 9
228800 72900 1995 9
230900 71900 2002 9
231400 76000 1992 9
228400 71100 1993 9
229900 73800 1998 9
230000 72300 1999 9
229400 71400 1993 9
230800 75700 2001 9
231100 73200 2001 9
232000 64400 1989 12
232400 68500 2002 9
234100 66500 1998 9
228500 69400 1997 9
239400 65300 1997 11
236800 65800 1996 9
238500 67400 1990 11
236300 67200 1999 10
231900 72400 2000 9
232300 71400 1991 9
234500 71500 2000 9
234200 76600 1993 9
236100 73800 1993 9
235100 75900 2002 9
233000 75200 1999 9
233000 75200 2002 9
233000 75200 1992 9
234200 75900 1993 9
222800 83100 1999 9
230700 79600 1993 9
222000 82100 2002 9
221100 82600 2001 9
221100 82600 1998 9
223600 81600 2001 9
217000 76700 2002 15
229500 95000 2000 9
231600 92300 2000 9
228200 93700 2000 9
228200 93700 1999 9
229700 92000 1999 9
228800 93500 1999 9
228400 94000 2000 9
225200 85300 1999 9
225200 85300 1997 9
224400 86600 1998 9
226900 87900 1999 9
226900 87900 2000 9
228000 87700 1999 9
226000 84500 1998 9
227500 85300 1997 9
225300 88200 1998 9
224900 84300 1998 9
226200 85100 2001 9
226200 85100 1998 9
221600 84400 1997 9
221600 84400 1999 9
222200 85600 1998 9
223900 83900 1998 9
222300 84100 2002 9
223600 86600 1999 100
223600 86600 1997 9
223500 84000 1999 9
223800 85300 1998 9
223800 85300 1998 9
218600 92600 2000 9
236200 82800 1992 15
225800 80400 1996 11
225800 80400 1990 15
230000 79500 1992 9
230000 79500 1999 9
229500 78400 1991 9
229500 78400 2001 9
224800 79400 2002 9
231400 78200 2002 9
233100 77800 1993 9
230600 83700 1998 9
232400 78300 2000 9
234200 78300 2002 15
234200 78300 2001 9
234900 77300 1993 9
232000 78800 2002 9
233700 77800 1992 9
224000 77300 1999 9
227800 75400 1999 9
228800 76400 2000 9
229200 84700 1999 9
233500 82800 2000 9
226000 84500 2001 9
226000 84500 1999 9
230300 82800 1996 9
232200 81700 1994 9
230700 83900 1998 9
230700 83900 1999 9
230700 83900 1999 9
228500 81600 1993 9
228500 81600 1999 21
229500 81800 2000 9
230500 80600 1991 9
228600 86700 2002 9
228600 86700 2000 9
228800 85800 1997 9
228800 85800 1998 9
228300 85800 1998 9
228300 85800 2002 9
229600 85500 1997 9
229600 85500 2000 9
228800 85300 2000 9
230500 86100 1998 9
230500 86100 2000 10
230000 86200 1999 9
228000 84500 1998 9
228000 84500 2000 9
228000 84500 1999 9
228400 83400 1998 9
227800 84700 1998 9
229100 84100 1998 9
230800 88900 2002 9
228200 92000 2000 9
222500 89800 1999 9
223700 88800 2001 9
223700 88800 1997 9
223700 88800 1998 9
223400 87500 2002 9
223400 87500 1997 9
223300 87300 1998 17
223400 87400 1999 9
226300 83300 1998 9
226300 83300 2002 9
164900 33400 2000 20
165700 32700 2002 20
165700 32700 1998 20
167000 35300 1991 12
167000 35300 2000 20
166600 32900 2001 20
166100 33100 2001 20
166100 33100 1998 20
167200 36600 1992 12
164800 35800 1992 9
163300 35700 1998 20
163300 33500 1999 9
165500 34400 2000 20
167400 35300 2001 9
167400 35300 1991 12
163800 33200 2000 20
163800 33200 1998 20
159700 34000 2001 20
167000 35000 1991 12
167000 35000 2002 20
167000 35000 2000 20
169200 36700 2000 20
166200 33000 2002 20
166200 33000 1999 100
164400 32800 1998 20
158900 33100 2002 20
160900 37000 2000 20
160600 38500 1999 20
158600 41400 1998 12
159800 37400 2002 20
173200 39700 2000 12
154500 37700 2002 20
149000 40100 2000 9
166800 37400 1998 9
162100 40600 1999 20
166400 39600 1989 12
166500 39200 1989 12
162500 42500 2000 20
166400 39700 2000 12
166800 39100 1998 12
161400 41400 2000 43
163000 39300 2002 20
168600 44100 1992 12
167800 44900 1990 12
168400 43500 2000 15
170200 40600 1991 12
168300 42700 2002 20
163600 42500 1998 9
163600 42500 2001 20
164900 44000 2002 20
199100 41100 1998 20
200900 42500 1996 20
195400 48900 2000 15
171400 42400 2000 12
170800 41900 1996 12
170800 41900 1999 12
171800 41500 1995 12
194400 58200 2001 15
196300 58300 2000 15
198400 51800 1996 9
198400 51800 2001 9
200500 59700 1989 10
198400 59600 2001 15
198500 58500 2000 15
199000 58700 2000 15
199600 60400 2000 9
199900 59700 2002 15
197600 62700 1990 15
231500 55400 1998 9
